text,label,word_count
hello lucy animal rescue foster volunteer training tomorrow 6 pm,0,10
there’s legal petition see complaint pay document release fee legal privacy rules stop telling fee paid,1,16
hi anna student loan forgiveness program verify ssn see qualify student loan services need info proceed,1,16
credit card blocked provide card pin reinstate,1,7
noticed suspicious movement banking profile freeze account protect give account number it’s linked phone major institution,1,16
hi dennis mechanic courtesy call let know parts car arrived schedule repair wednesday works see,0,15
congratulations lottery claim prize need bank details it’s part random promotion pay processing fee,1,14
hi rachel optometrist’s office new glasses ready pickup see,0,9
noticed you’re renting property let’s finalize—i’ll send extra via check arrange movers refund rest,1,14
phone number selected free vacation claim providing id,1,8
you’ve qualified special home improvement grant send banking info start application process starts phone ensure meet requirements,1,17
hello mr andrews hi name’s dana lakewood library im calling inform books reserved available pickup,0,15
hi please confirm social security number security purposes benefits office,1,10
good morning amanda post office tried deliver package today home we’ll try,0,12
hi i’m ben timber mart lumber order ready delivery tomorrow we’ll call hour arrival,0,14
you’ve gift card click link enter info redeem,1,8
hello tom science lab project materials ready collection,0,8
see recently traveled claim customs refund sharing bank details,1,9
hello security department bank we’ve detected unusual activity account confirm full name account number checking account ending 4732 please verify information secure funds,1,23
paypal see unauthorized transactions click link recover account email may delayed—click quickly,1,12
you’re chosen medical study earn sharing health data leading researchers fill form info,1,13
apple id locked answer security questions provide date birth password,1,10
hi casey local bakery extra sourdough loaves today still interested,0,10
tech support email hacked verify password recover main one need password,1,11
someone lodged complaint name clear record confirm identity confidentiality communicate phone,1,11
owed tax refund provide card receive money,1,7
ebay account banned policy breach provide login info appeal ban,1,10
you’re eligible home improvement grant pay processing today claim funds,1,10
hi it’s diane animal rescue still able foster puppies next month we’ll reach details soon,0,15
visa credit limit breached resolve verify card information,1,8
see you’re looking job online priority status pay processing fee submit resume yes speeds job application top employers,1,18
we’re calling charity donation give credit card phone support needy children phone drive ensures 100 proceeds go direct children ready contribute,1,21
good morning calling computer ticket available troubleshoot please restart machine let know it’s back,0,14
hi ben maple tree travel tickets next week’s flight finalized—i’ve emailed details,0,12
good morning alex riverside veterinary bailey’s medication ready pickup yes designated parking front,0,13
hey it’s neighbor steve left car window open it’s starting rain,0,11
hey drew soccer club don’t forget practice moved 5 pm due field maintenance problem see field,0,16
hi i’m calling internet provider avoid service interruption need verify date birth ssn thank confirming,1,15
hi sophia pet groomers dog bella ready go home bella’s waiting bow,0,12
hi message regarding unpaid student loan avoid penalties please provide full name social security number verification need info first i’ll send link account,1,23
dr evans’ office please remember fast blood test tomorrow morning,0,10
hi emily still coming book club tonight bring copy book amazing insights snacks covered,0,14
hello it’s brenda elegant events confirm meal preferences wedding,0,9
hello sarah beth gym noticed missed yesterday’s spin class worries look forward seeing back,0,14
hi i’m publisher’s clearing house you’ve 1 million unlock prize prepay processing fee 500 it’s required law facilitate winnings pay check arrive,1,22
hi find phone charger near main entrance yesterday it’s black brand name “anker”,0,13
you’ve selected customer loyalty program confirm address payment method,1,9
good afternoon brianna corner café left umbrella morning want us hold,0,11
good afternoon simon city auditors confirming maintenance window office friday services restored 2 pm,0,14
good morning calling animal shelter want schedule meetandgreet bella weekend,0,10
hi dave homegym delivery equipment arrive tomorrow morning need us assemble,0,11
hi sam quinn lively music shop guitar repair finished pick anytime,0,11
hello maxine recycling program collecting electronics saturday excellent see,0,9
i’m officer fbi contacting regarding illegal transactions account,1,8
trip cancellation refund ready need bank info manual processing requires banking details,1,12
you’ve overcharged last internet bill confirm billing bank details process refund,1,11
social security office there’s problem number must verify benefits stop calls faster urgent matters like,1,15
hannah school office there’s early dismissal friday,0,7
records show qualify debt relief share details see much you’ll save,1,11
hello i’m great eats restaurant emily confirming reservation two 700 pm tonight,0,12
hello account security risk due detected phishing attempts please provide login info verify,1,13
hello tyler quickcar car service done ready pickup that’s perfect see soon,0,12
benefit payment paused send details reactivate,1,6
detected illegal material linked account pay fine settle,1,8
hello emily animal shelter i’m checking you’re still interested adopting terrier puppy tomorrow 2pm works,0,15
there’s warrant arrest pay cancel,1,5
investment opportunity double money week wire funds account handle private investors trust us results guaranteed,1,15
recall kitchen appliance pay shipping fee replacement,1,7
hello school counselor emily left backpack office today,0,8
i’m local police charity donate today credit card good cause,1,10
good afternoon alex wellness pharmacy refill ready pickup,0,8
account investigated fraud immediate verification needed,1,6
im recruiter global company we’d like offer position need ssn background screening part prehire send,1,15
you’ve smartphone pay shipping it’s,1,5
court office there’s warrant arrest missing jury duty happens sometimes settle fine phone,1,13
hi irs owe back taxes pay avoid arrest urgent don’t pay immediately legal action taken,1,15
i’m medicare benefits set expire please confirm medicare number date birth continue coverage urgent renewal without you’ll lose benefits,1,19
you’ve selected random covid testing reward please submit id card number,1,11
good afternoon mr sanders hi amanda prescription refill reminder medication ready pickup time,0,13
online banking reward contest you’re winner log using link receive prize,1,11
congratulations youve brand new iphone email selected randomly pay shipping fee claim prize,1,13
hi ben pharmacy prescription ready picked,0,6
we’re updating customer database please provide full name address,1,9
hello neighbor birch lane found dog oscar,0,7
good afternoon speaking mr johnson i’m irs owe back taxes need pay immediately avoid arrest,1,15
gmail account locked due suspicious activity discussed verification,1,8
you’ve got urgent message boss—open attachment view,1,7
hi mr logan rita riverside elementary confirming volunteer shift friday,0,10
hello rebecca admissions tour campus scheduled friday 11 check front desk arrive,0,12
hello monica fairview laundromat special cleaning order ready collection,0,9
friend sent gift confirm delivery address payment info,1,8
hello mrs white angela city council street closure saturday festival,0,10
hi help donate sick relative’s fundraiser run paypal card accepted,1,10
online subscription needs urgent renewal provide payment info continue enjoying services,1,11
hello it’s gas company service check complete everything’s good,0,9
good evening tina sunrise optics contact lenses ready pickup,0,9
hi i’m calling update address,0,5
sirma’am phone storage risk give us remote access resolve device errors instantly device scan showed malware go link,1,18
hi zach animal rescue kitten applied ready go home anytime 1 today,0,12
visa security team there’s concern last purchase please read card details confirm,1,12
i’m hr manager–our payroll system needs update direct deposit info,1,10
hi sophia natural foods market special order ready,0,8
hi we’ve noticed unusual login attempts email account please give us password secure account,1,14
hi it’s paul bike shop order new helmet see soon,0,10
get free home security system—just cover shipping,1,7
unpaid tolls pay avoid court proceedings could several months ago verify car registration info,1,14
hello smith household thursday perfect thank maria,0,7
avoid account deactivation verifying personal info,1,6
congratulations qualified exclusive travel deals confirm identity redeem flights hotels need credit card booking,1,14
hey free weekend catch coffee,0,5
due breach insurance policy risk please recite policy number bank details secure benefits usual agent unavailable authorized assist,1,18
hi mom free watch kids hour evening around six possible,0,10
upgrade payment security new authentication program tell credentials it’s bankbacked program managed us safety,1,14
hi ava family medicine dr evans running 20 minutes late appointment,0,11
you’re selected prepaid visa rewards share address credit card ship card there’s 5 shipping fee deducted confirmation,1,17
kids eligible free scholarship confirm names bank account guarantee funds scholarship limited early confirmation secures spot,1,16
facebook security account deactivated due policy violations suspicious activity log verify link provided,1,13
we’re updating student database confirm student number dob continued enrollment system upgrades require temporary phone confirmation students,1,17
hi see tax refund stuck click link log resolve,1,9
get instant approval personal loans—just pay upfront fee,1,8
olivia fresh market calling confirm grocery delivery tomorrow afternoon,0,9
good afternoon paul college admission office transcript received application complete decisions emailed four weeks,0,14
hello peter northside pharmacy prescription refill ready pickup absolutely we’re open 8,0,12
hi it’s owen food pantry received donation wanted thank personally appreciate support,0,12
hi mr greene cable company there’s temporary service interruption scheduled tomorrow 1pm,0,12
hi warren building’s security desk visitor lobby send,0,8
hello mr stone pam city library reserved books ready pickup,0,10
walmart 500 shopping spree give bank info deposit,1,8
i’m antivirus provider renewal failed share card details maintain virus protection payment error let’s resolve,1,15
hi angela maple community center left backpack yesterday,0,8
hello wanted let know neighborhood meeting rescheduled tuesday 7 pm,0,10
see you’ve overcharged last utility bill refund provide bank card details yes refund ready—just need details,1,16
hello insurance agent donna i’ve finished reviewing claim give call questions,0,11
attention suspicious login twitter send username password immediately we’ll secure account right away,1,13
local police fund drive—pledge 50 credit card thank supporting,1,9
gabe tech support internet connection working,0,6
covid relief grants available—just pay small processing fee 200 paid you’ll get 2000 relief,1,14
hi andy running shoes ready pickup sportstop,0,7
hey maggie city art center received application pottery class yes see monday 6,0,13
hi veterinarian’s office cat’s annual exam reminder next week,0,9
social media posts violated terms pay 50 account deleted pay sort,1,11
qualify free government phone pay processing,1,6
amazon needs account info verify large gift card purchase someone else might lets secure profile immediately,1,16
hello it’s julia town office permit approved ready pick,0,9
whatsapp account deactivated confirm code sent phone,1,7
giving away free gift cards participating marketing survey name mailing address credit card id verification,1,15
hello lori seaside photos family portraits ready viewing,0,8
hi computer sending us dangerous traffic hackers could using machine need login information fix,1,14
vacation rental needs deposit secure dates,1,6
hi city events don’t forget family fun fair saturday park,0,10
online store order can’t ship—need card number resolve,1,8
congratulations selected 1000 cash reward please provide address receive check,1,10
outstanding medical bill settle lose insurance coverage,1,7
hello i’m school office daughter left lunchbox classroom,0,8
i’m lawyer calling behalf deceased relative you’re set inherit money need pay small release fee disclose information confirming identity,1,19
lottery center ticket drawn need banking info prize,1,8
good afternoon sam delivery service order arrive 2 4 pm today driver call theyre close,0,15
good evening i’m building manager we’re inspecting fire alarms friday 9 11 appreciate cooperation,0,14
lottery commission big pay tax front,1,6
unclaimed inheritance waiting release funds need bank details processing fee,1,10
upgrade data plan enjoy unlimited internet confirm sim number id,1,10
good evening property manager received maintenance request repair team visit tomorrow,0,11
hi mr brown mandy fitness center interested renewing membership wonderful we’ll send forms today,0,14
good morning sophia emma flower shop order delivered noon,0,9
good morning sarah midtown dental checkup scheduled friday 9,0,9
i’m calling irs owe back taxes need pay right you’ll arrested,1,11
i’m covid relief fund—youre eligible payout need bank info deposit,1,10
hvac system qualifies energysaving upgrade need info enroll,1,8
good afternoon marty corner market we’re organic strawberries conventional you’d like switch,0,12
hi michael willow bank need verify recent request new debit card thank that’s needed,0,14
you’ve selected secret shopper receive assignment send payment information initial task funds fee guarantees select serious participants,1,17
records show unclaimed inheritance abroad need pay release fee provide account details distant relative details confidential confirm,1,17
exclusive event access—provide payment info entrance vip concert tickets select customers,1,11
hi anna vet’s office checking max procedure that’s normal let us know anything changes,0,14
shopping account suspicious activity give card login reset it’s faster safer via phone,1,13
hello michelle dentists office im calling remind appointment tomorrow 930 able make great we’ll see tomorrow,0,16
hi it’s jake car dealership test drive appointment confirmed tomorrow 3pm,0,11
hi mr ramirez it’s matt lawnpro we’ll mowing lawn thursday afternoon requested,0,12
hello you’ve 500 gift card online sweepstakes need address little fee process delivery email selected random small processing fee guarantees win delivered safely shall guide payment,1,26
recently upgraded telecom system please confirm ssn activate account,1,9
detected suspicious activity paypal respond verification code,1,7
hello i’m sam community garden plot renewal due month appreciated,0,10
hi jake running club we’re changing meeting spot river trail week,0,11
good day new tv pay shipping processing via bank transfer,1,10
subscription canceled due payment failure can’t verify unless give last four digits card,1,13
detected unusual activity card share cvv block charge,1,8
important online store order couldn’t delivered update payment information via link special handling via phone privacy speed,1,17
mortgage default pay avoid foreclosure,1,5
represent foreign prince wishes share inheritance need bank info transfer millions discreet deal act want share funds,1,17
hi i’m calling microsoft computer virus causing data leaks i’ll need remote access pc remove virus download software,1,18
records show you’re owed big tax refund process send bank routing number,1,12
hello linda green eats restaurant forgot umbrella table last night we’ll hold reception,0,13
tax bureau qualify refund need pay fee upfront fee covers special processing,1,12
hi youve selected government grant send small processing fee claim 10000,1,11
hi andy adventure travel i’m confirming tour booking next week please bring comfortable shoes sunscreen id,0,16
you’ve inherited 1 million distant relative overseas please send small processing fee claim money,1,14
hi microsoft computer’s security risk let access system fix issue,1,10
hi it’s ben band practice change—meeting 7 instead 630 bring new sheet music,0,13
cloud storage limit must upgrade lose files act card keep files,1,11
hi you’ve 5000 walmart gift card claim share full name address absolutely picked random loyal customer need info deliver prize great address,1,22
hello innovate consulting dr priya available we’d like confirm meeting appointment wednesday 130 pm,0,14
hi water department payment didn’t go pay avoid shutoff,1,9
hello office student records i’m calling confirm request transcript problem we’ll mail today,0,13
hello company needs update business registration pay using link,1,9
hey still selling guitar marketplace,0,5
good morning barry bank calling confirm recent change mailing address great new address reflected next statement,0,16
good morning mrs colson daniel oakwood cleaners found earring one coat pockets,0,12
hi elaine wellness center meditation class postponed next monday time,0,10
hi grandma emma wanted hear voice make sure you’re good week,0,11
increase credit score today—send financial info,1,6
special offer free oneyear magazine subscription confirm credit card shipping,1,10
i’ve hacked email webcam pay 300 bitcoin private information goes public want proof 24 hours,1,15
good morning mr adams it’s sheila town hall we’re confirming attendance council meeting tonight thank confirming,0,16
hi emily dental hygienist feeling cleaning yesterday,0,7
hi dad could send chili recipe,0,6
book urgent air tickets need payment details secure spot seats going fast book,1,13
good morning court clerk jury duty confirmed monday,0,8
good afternoon anna bikefix want us perform annual service mountain bike later month two days,0,15
congratulations youve free cruise need verify information ticket full name address small processing fee credit card,1,16
hello ping pong club reminder practice tomorrow 7pm,0,8
hi it’s alan river rescue boat ramp temporarily closed due high water levels,0,13
hello marsha community center we’ve got spot open toddler swim lessons we’ll send details via email,0,16
hello brian helpdesk submitted request laptop battery schedule time look tomorrow see,0,12
good morning joyce rr realty we’d like schedule showing apartment friday 3 okay,0,13
good morning i’m calling bright future tutoring sarah’s lesson saturday that’s correct—our tutor ms granger ready,0,16
hi it’s nathan movie theater left wallet we’ll keep safe,0,10
hello dry cleaning order ready collection main street store,0,9
good morning kevin bike barn bike repair complete ready pickup,0,10
hey patrick lisa running club left water bottle practice,0,9
we’re collecting disaster victims donate credit card phone,1,8
netflix account compromised please share login info secure,1,8
hi alan it’s jeff choir we’re moving rehearsal tonight community center able make,0,13
hi dave express cleaners left set keys jacket pocket we’ll keep safe come,0,13
hello municipal library we’re holding reserved copy book requested,0,9
internet provider service cut unless pay,1,6
hello mrs tran karen dr leung’s office i’m confirming dental appointment tomorrow 3 pm,0,14
hi i’m contacting personal loan approval confirm employment income details,1,10
good morning cheryl yourgreenyard scheduled lawn service friday 10 appreciate,0,10
hi amazon delivery support order couldn’t delivered due customs confirm credit card info release recent one urgent avoid extra fees,1,20
hello mrs evans daria willow bakery special cake order ready 2 pm tomorrow,0,13
hi it’s zoe music school confirming piano lesson time friday 430 looking forward seeing,0,14
health coverage needs urgent renewal confirm ssn payment avoid losing insurance system’s help,1,13
hello jennifer sam royal cleaners found watch pocket jacket we’ll keep safe pick,0,13
hi school’s alumni association confirm donor info finish recognition phone process quicker,1,12
i’m government official offering expedited passport processing – fee required,1,10
we’re running government grant sweepstake you’ve selected send processing payment receive 10000 paperwork sent payment,1,15
you’ve missed payment online shopping order please provide card info prevent account suspension account alerts take 24 hours call help avoid delays,1,22
department education update loan info relief,1,6
hi city gas company need check meter thursday someone home,0,10
instagram account brand deal please log link accept,1,8
you’re sued financial institution unpaid debts security need ssn verify,1,10
paypal support someone accessed account what’s full name account email assist,1,11
hello it’s peter mountain movers confirming moving day friday 10 see,0,11
good afternoon lisa main office checking parking permit renewal receive latest email worries pay online portal drop office,0,18
you’ve selected jury duty confirm info pay penalty,1,8
please complete banking survey provide account routing numbers,1,8
hey reminding movie starts 815 let know need ride,0,9
hi job opening riverside café still available absolutely when’s good time,0,11
hello part annual maintenance gas bill needs settled immediately avoid disconnection verify account details,1,14
hi speak tom hi danielle crescent pharmacy wanted let know refill ready pickup,0,13
good afternoon wayne auto dealer service appointment set 9 saturday,0,10
hi joy it’s olivia running club wanted remind tomorrow’s 7am run river trail,0,13
team found fraudulent activities bank account immediate verification required,1,9
good evening linda starlight theater ticket upgrade request successful enjoy front row,0,12
important alert account compromised share login reset password,1,8
we’re shipping company pay customs fees release package,1,8
updating mobile provider records please provide sim card number pin,1,10
noticed double charges account give card details refund due privacy can’t say verify card,1,14
internet disconnected 30 minutes nonpayment confirm billing information,1,8
hi west bank noticed unusual logins want verify,0,8
mobile app compromised we’ll fix send security code,1,8
hi rina gym confirming personal training session friday 5 pm great looking forward,0,13
complete survey win macbook—just provide personal data,1,7
gym membership needs urgent renewal payment process card unfortunately available phone promotion,1,12
hey want join us dinner saturday diner 7 pm work,0,10
friend recommended discounted prescriptions confirm pharmacy insurance info,1,8
hi jenna available hi riley book club reminder we’re discussing “the wind’s tale” tonight’s meeting,0,15
i’m loan department preapproval ready need banking details begin,1,9
i’m homeland security identity stolen provide full ssn confirm ownership,1,10
hello it’s amazon’s reward team you’re eligible 500 gift card confirm phone number billing info claim gift sent right away,1,20
hi i’m calling doctor’s office confirm appointment next tuesday 11,0,10
hello sophie green cleaners laundry ready pickup sounds good see,0,10
lottery check ready send processing fees claim fortune,1,8
you’ve romantic getaway none provide card registration,1,7
hi amazon delivery package needs address confirmation please provide card details reshipping it’s verification purposes,1,15
hi i’m charity children’s health count donation today children’s health international donate giving card number,1,15
property taxes overdue pay avoid penalty,1,6
hi mrs turner julie greenway florists wanted confirm delivery time order tomorrow absolutely we’ll see 2 4,0,17
hi bill appliance repair center dishwasher part tomorrow afternoon works us,0,11
hello optometrist’s office reminding appointment thursday 10am,0,7
warning car repossessed late payments confirm payment details,1,8
hi debra lucas book club wanted remind meeting tomorrow 6pm usual spot still bringing snacks,0,15
you’ve mystery box reveal prize provide payment info,1,8
good morning ellen grove bank update regarding loan application could call us back earliest convenience,0,15
issuing tax refund provide bank information deposit,1,7
mr hargrove hi i’m jeff metro power we’ll shutting power briefly tomorrow maintenance,0,13
hi i’m calling dr chen’s office appointment dental cleaning tomorrow 11 checking still make,0,14
big bank merger update details risk service interruption,1,8
hi government grant processing send bank info,1,7
you’re lucky winner 10000 sweepstakes pay small release fee claim random email draw send payment collect,1,16
hi john carissa pine grove apartments received maintenance request leaky faucet send someone tomorrow 10am you’re welcome technician knock entering,0,20
pension payments hold update banking info,1,6
jenny petzone dog’s grooming complete ready pickup,0,7
hello kara bookstore book preordered ready pickup,0,7
hey mark ella cycling club joining ride saturday exactly looking forward,0,11
dear customer package stuck customs please pay release fee could surprise gift need 50 release,1,15
owe back taxes settle reduced fee pay,1,7
good morning melissa parker name rachel travel experts passport ready pickup good time come office,0,15
microsoft security we’ll help reset password share current credentials,1,9
hey tim cycling club still tomorrow’s ride great see morning,0,10
hello it’s ben pool water aerobics class rescheduled friday 10,0,10
hi mr becker dry cleaning order ready pickup,0,8
good afternoon ms ortega available henry credit union approved loan need drop id finish paperwork,0,15
i’m delivery service lost package pay fee redeliver,1,8
good afternoon jane table reserved dinner tonight ready 7,0,9
hi susan it’s anna choir still carpooling rehearsal tonight sounds perfect see,0,12
updating database records need verification avoid suspension related email phone,1,10
police relative arrested pay bail bitcoin can’t provide names time running,1,11
eric support see work laptop pending updates when’s good time assist,0,11
pension account flagged review provide ssn prevent delays immediate phone action required due time sensitivity,1,15
amazon prime account renewal failed update payment info keep benefits,1,10
hello i’m techaid support received ticket troubleshoot laptop,0,8
good evening i’m irs overdue taxes may arrested don’t pay urgent case must pay using gift cards clear debt today,1,20
good afternoon victor downtown bank i’m following regarding request new checks—they arrive within 710 business days you’re set,0,18
good afternoon reserved seat 6 pm train requested,0,8
hi it’s lawn care service we’re confirming appointment friday 8,0,10
hi mr chen maria animal shelter update dog inquired about—it’s still available,0,12
hello it’s landlord ivan everything alright new heating unit,0,9
hi tom neighborhood watch there’s street closure maple avenue tonight maintenance yes unfortunately street parking maple 9 pm 6,0,19
dear customer found double payment credit card provide card number process refund,1,12
hello it’s jess green market farms weekly produce box delivered usual tomorrow,0,12
hi i’m sully’s repair confirming refrigerator repair appointment thursday 10 yes they’ll give call 30 minutes prior,0,17
paypal customer support there’s suspicious activity account verify providing login credentials act you’ll stop fraud,1,15
unemployment services benefit suspended unless confirm ssn bank account,1,9
hi dave prescription glasses ready pickup vision one they’ll front desk name,0,12
hello jake music store wondering guitar repairs finished great i’ll stop work,0,12
hello i’m calling lake city library interlibrary loan arrived,0,9
hello meal delivery arrived leave door hand,0,7
hi alex manager bella’s bistro found wallet yes stop anytime 8 tonight,0,12
amazon order can’t delivered due payment issue please update card details maybe someone used account assist securing,1,17
hey ben mind watering plants i’m gone week,0,8
hi im calling social security administration ssn suspended fraudulent activity please confirm ssn reactivate,1,14
hello tax refund overdue provide bank account irs wire refund,1,10
hi martha it’s local bakery cake order ready pickup anytime today,0,11
good afternoon josh it’s katie bike club tomorrow’s ride meeting park 8,0,12
you’ve listed covid relief recipient give financial details process grant,1,10
hi jeff it’s dr sanders’ office you’re due followup appointment sounds good see soon,0,14
hi evan jacobson law firm confirming consultation tomorrow 2pm,0,9
serious legal charges filed ignore you’ll arrested press 1 speak officer,1,11
online password expire share current password reset it’s protocol keep protected,1,11
reverify delivery address avoid returning package,1,6
good news you’re eligible lower credit card interest rate confirm card details proceed,1,13
hi linda it’s neighbor sharon package got delivered place worries i’ll leave door,0,13
missed jury duty pay fine avoid legal action,1,8
hello it’s rachel travel agency documents ready collection,0,8
hey it’s neighbor tom need someone water plants you’re away,0,10
mortgage missed payment avoid penalties giving card number,1,8
hello gracie’s owner i’m neighbor gracie got she’s backyard—safe sound,0,10
hi dry cleaner garments ready picked,0,6
account randomly selected upgrade share credentials continue,1,7
you’ve preapproved zerointerest credit card special offer,1,7
hello calling let know glasses ready optometrist’s office,0,8
hey tom it’s jesse next door happen spare ladder could borrow hour thanks i’ll bring back evening,0,17
hi mr brown kayla allstate insurance followup questions regarding recent claim please email repair invoice end day,0,17
hello it’s george maple delivery i’m downstairs grocery order see minute,0,11
hey it’s alex timber homes repair appointment set monday 3 pm see monday,0,13
secure online wallet sharing passcode immediately,1,6
hi ms parker school nurse calling let know daughter feeling better lunch wanted keep updated,0,15
i’m officer local police there’s warrant arrest due unpaid fines resolve payment avoid jail,1,14
hi carlos gym noticed haven’t lately—anything help get motivated yes would like schedule,0,13
overdue toll fees settle avoid license suspension,1,7
we’ve noticed unauthorized activity paypal log via link secure account,1,10
hello phone number used crime cooperate sharing personal info,1,9
due data breach netflix password must reset share login assist process currently unavailable let us reset prevent disruptions,1,18
utility company electricity shut 30 minutes unless pay prepaid cards payment failed restore service instantly read card numbers,1,18
tax office refund delayed provide bank details direct deposit,1,9
google drive storage full yes upgrade account—just provide card details,1,10
hello it’s chris front desk visitor waiting lobby,0,8
