dialogue,label
"caller: Hello, this is Customer Care at Techwise.   receiver: Hi!   caller: I’m following up to see if your computer issue has been resolved.  ",0
"caller: This is [bank name] account recovery. Answer security questions, then provide your online banking password. receiver: I don’t share passwords with anyone. caller: It’s a temporary step for account protection.",1
"caller: Good afternoon, Janet from the bird sanctuary here. We have an opening for a bird-watching tour Saturday. Would you like it? receiver: Yes! Please sign me up.",0
"caller: You’ve been selected for a government grant of $8,000.   receiver: Nice! What’s the catch?   caller: You just need to pay an administrative fee of $150 first.   receiver: Why would I pay for a free grant?   caller: It’s standard protocol.",1
caller: Your mobile service will be suspended for unpaid bills. Confirm your card info to keep it active. receiver: Suspended? I thought my bills were set to auto-pay.  ,1
"caller: I’m calling about your car warranty. It’s about to expire. receiver: My car is brand new, it has warranty. caller: Sometimes new cars have limited coverage; let’s verify your info to be safe.",1
"caller: Hi, it’s Kendra from the flower shop. Did you want us to deliver your Valentine’s order or will you pick it up? receiver: Please deliver. Thank you for checking.",0
caller: Your reward points are about to expire! Log in to the link we sent and update your account. receiver: I always update through my bank’s website. caller: The link is for special offers. Hurry before points disappear. receiver: I’ll check with my bank.,1
"caller: You’ve qualified for a lower interest rate on your credit card. To begin, I’ll need your current card details.   receiver: Can’t you use my existing account info?   caller: Verification is required. Share the details now.   receiver: I’ll contact my bank if I want changes.",1
"caller: Hi, this is Colleen from Oakwood Library. Your requested book is available for pickup. receiver: Thanks so much! I’ll be by this afternoon.",0
"caller: Hi, from Midtown Vet Clinic. Can you bring Daisy in at 4 PM for her appointment tomorrow? receiver: Yes, 4 PM is great. Thank you for the reminder.",0
"caller: Hi, you left your lights on and got fined by city hall. Pay now by card. receiver: Where can I verify this fine? caller: Search for your citation online, you’ll see the fee. receiver: I’ll check first.",1
"caller: Hello, is this Sarah? receiver: Speaking. caller: This is Jake, your neighbor across the hall. Just wanted to let you know I accidentally received a package addressed to you. I can drop it by later tonight. receiver: Oh great, Jake, thank you so much! I was waiting on that. What time works for you? caller: How about 7 pm? receiver: That works!",0
caller: An inheritance is waiting for you overseas. We need your details to transfer. receiver: Who passed away? Can you give me a name?  ,1
caller: Get exclusive access to investments—just deposit funds in our account. receiver: I only invest through regulated brokers.  ,1
"caller: Hi Mrs. Lopez, this is Tom from the furniture store. Your sofa is scheduled for delivery tomorrow between 8 and 10 am. receiver: Thank you for the update, Tom. We’ll be ready to receive it.",0
"caller: I’m from Microsoft and your license key has expired. We need a payment of $50 to reactivate. receiver: Huh, I thought Microsoft never calls users?  ",1
"caller: Hey Alex, can I borrow your notes from last Friday’s class?   receiver: Definitely. I’ll copy them for you and bring them tomorrow.  ",0
caller: I see fraudulent activity from your device. Allow remote access so I can secure it. receiver: Stranger danger! I’ll have my own IT person check it.,1
caller: This is the Department of Motor Vehicles. Your license is suspended. Pay a fine now. receiver: I haven’t gotten any mail about this. caller: Sometimes letters are delayed. Pay $300 to lift the suspension. receiver: I’ll contact the DMV.,1
"caller: Hi, this is Julie from Town Cleaners. Your suit is ready for pickup. receiver: Awesome, thanks for the update. I’ll swing by this afternoon.",0
caller: This is the job agency. There's a fantastic role available. Can you send a copy of your government ID? receiver: Which agency are you calling from? caller: National Opportunities. receiver: I’ll apply directly on your site.,1
caller: Your friend mentioned you as a reference. We need your details to process their application. receiver: What application is this for? caller: A financial support loan. Confirm your address and phone number. receiver: I’ll talk to my friend first.,1
"caller: This is the local police. You’re implicated in cybercrime. Confirm your SSN and address or face legal action. receiver: SSN 615-88-1074, 25 Sunset Ave. caller: Thank you for cooperating.",1
"caller: Hello, you were selected for a free vacation to Hawaii! All I need is a deposit to secure your spot. Ready to claim your reward? receiver: I’d love to, but how do I know you’re legitimate? caller: We only ask the deposit to ensure recipients are serious. You can read our terms and conditions after payment.",1
"caller: Someone used your credit card for a large purchase. Please give your card number to verify. receiver: I’ll contact my credit card provider, not share my number over the phone.",1
"caller: Hello, this is Apple Support. Someone tried to log in to your Apple account. Can you give me your Apple ID and password to secure it? receiver: My Apple ID is mark.connor@icloud.com and password is Appleseed55. caller: Account security will be updated.",1
caller: This is student loan assistance. We can forgive your debt—just pay an application fee. receiver: Isn’t student loan forgiveness a free process?  ,1
"caller: Hi, this is Natalie from the daycare center. Alex left his lunchbox here today. receiver: Thank you so much, I’ll pick it up after work.",0
"caller: Hi, just letting you know your pizza order is en route, about 10 minutes away. receiver: Great, thank you for the update!",0
"caller: Hello, your computer is infected. If you buy our antivirus now, we’ll stop the hackers. receiver: What’s the name of your antivirus? caller: It's the latest protection tool; I’ll need your card number. receiver: I’ll find a reputable one myself.",1
"caller: Hi, this is Julia from PetSmart. Your cat food order is ready for pickup. receiver: Excellent, thank you. Do you close at 8 tonight? caller: Yes, you’re good until then. receiver: I should be by before 7.",0
caller: Your Netflix account’s at risk. Confirm payment information to avoid disruption. receiver: I’ll check my subscription through the app only.,1
caller: This is your mortgage lender. Verify your account before we freeze your property. receiver: I’ll talk to my assigned agent if there's an actual concern.,1
"caller: Hi, I’m calling from Green Thumb Nursery. The flower seeds you ordered arrived. Would you like them delivered? receiver: I’ll pick them up on Saturday, thanks.",0
caller: Internal Revenue informs you of a refund. receiver: Cool! What do I need to do? caller: Click the refund link and fill out your details. receiver: I think I’ll wait for a check.,1
caller: Your pension has been suspended pending verification. Provide your details now. receiver: I’ll reach out to the pension office myself.  ,1
caller: Your e-mail has been hacked. We can help you recover it if you give us your login. receiver: I’ll recover it myself via the official website. I won’t share my password.,1
caller: Your computer has been infected! I can help clean your system right now if you give me remote access. receiver: How do you know my computer is infected? caller: Our monitoring shows suspicious activity from your IP.,1
caller: I have a parcel for you. Pay the customs charge and confirm your details to receive it today. receiver: I’m not expecting anything. Who sent it? caller: The sender requested anonymity—it’s a surprise. Pay now to collect.,1
"caller: Hi there! This is Janet from the animal clinic. We wanted to remind you about Daisy’s vaccination appointment next week. receiver: Thanks, Janet. I have it on my calendar.",0
caller: We’re offering COVID-19 refunds. Share your bank info to receive. receiver: I never heard of that. Please send me a letter if it’s genuine.,1
"caller: This is tech support. We detected hackers in your network, and we need your IP address to secure your connection. receiver: What company is this?  ",1
"caller: Hello, this is the school nurse. receiver: Hi, is everything okay? caller: Your son has a slight fever, but he’s resting. We thought you’d like to know. receiver: Thank you, I’ll come pick him up.",0
"caller: Hi, this is Sara from Wilderness Outfitters. The tent you ordered has arrived. receiver: That’s great, I’ll pick it up today.",0
"caller: Hi, this is Taylor from Doggo Groomers. Your appointment is next Wednesday at 11 AM. receiver: Great, I’ll see you then!  ",0
"caller: COVID-19 relief funds available. To apply, send your ID and SSN. receiver: ID 7493021, SSN 710-49-3210. caller: Application received.",1
caller: Your student loan can be forgiven for a small fee. Let me explain the process. receiver: I’ll look into official channels for loan forgiveness. Goodbye.,1
"caller: Hello, you could win $1,000 with an immediate survey! Provide your email and credit card for the reward. receiver: Why do you need my card? caller: For secure processing—we won’t charge.",1
"caller: Hello, this is Eric from the post office.   receiver: Hi Eric.   caller: I wanted to let you know we have a registered letter waiting for you at our branch.   receiver: Thank you, I’ll come by after work.",0
"caller: Hey, it’s Sam from Marketing. The meeting’s been rescheduled to 3. receiver: Thanks, Sam. I’ll update my calendar.",0
"caller: Good morning, Emily. This is Tom from the Science Department. Could you send me the slides for Thursday’s lecture? receiver: Sure, I’ll send them over this afternoon. caller: Thanks a lot!",0
caller: I’m calling from tech support to fix your router. Share your admin password for remote access. receiver: I’ll call my provider directly for technical support.  ,1
caller: We have exclusive crypto investment opportunities. Start with just $500 now. receiver: Can you provide legitimacy proof before I consider?  ,1
"caller: Hello, this is the IRS. We have detected discrepancies in your recent tax filings. Can you confirm your social security number for verification? receiver: Wait, the IRS never calls me directly. I think I’ll hang up and call the official number myself.",1
"caller: Hello Mr. Peters, this is the high school office. School will open two hours late tomorrow due to weather. receiver: Thanks for keeping us informed. ",0
caller: Your identity is being used for fraudulent activities. We must verify your identity urgently. receiver: How do I do that? caller: Email us a copy of your driver’s license and a utility bill. receiver: I’ll report this to the police.,1
caller: Your Netflix subscription is suspended. Please update your billing information with me to restore service.   receiver: How did you get my number?   caller: You registered it with Netflix. Let’s update your card details now.   receiver: I’m not comfortable sharing that over the phone.,1
"caller: Hey, Jake, it’s Olivia. Do you remember the book I lent you last month? receiver: Hi, Olivia! Yes, I’ve actually just finished reading it. Should I bring it to the office tomorrow? caller: That’d be great, thanks!  ",0
"caller: Hi, this is Tony from Eastside Hardware. Your special order faucet has arrived. receiver: That’s great news! I’ll be there this evening to pick it up.  ",0
"caller: Hi, it’s Ashley from the animal hospital. Just letting you know that Stitch is ready to be picked up after his dental this morning.   receiver: Thank you so much, Ashley. I’ll come by shortly.",0
caller: I’m from Amazon billing team. You have a pending payment. Let’s resolve this now with your card details. receiver: I’ll log in to my Amazon account and check directly.  ,1
caller: Your health insurance policy is under review. Confirm identity and banking info for updates. receiver: What’s the policy number you have? caller: This is a bulk process covering lots of policies.,1
caller: You’ve missed jury duty and face a fine. Please pay online now or risk legal action. receiver: Missed jury duty? I never received any notification about this.  ,1
caller: Amazon is offering you a part-time job. Just enter your bank info and start working. receiver: Is there an official Amazon site I can visit to apply?,1
"caller: Hi, is Lisa there? receiver: Speaking! caller: Lisa, your order at SweetCake Bakery’s ready for pickup any time today. receiver: Awesome, I’ll stop by before closing.",0
"caller: Hello, this is Lucy from Animal Rescue. Your foster volunteer training is tomorrow at 6 pm. receiver: Thanks for the reminder!",0
"caller: There’s a legal petition against you. To see the complaint, pay the document release fee. receiver: What kind of petition? caller: Legal privacy rules stop me from telling you until fee is paid.",1
"caller: Hi, this is Anna with a student loan forgiveness program. Verify your SSN to see if you qualify. receiver: Where are you calling from? What’s the company name? caller: Student Loan Services, just need your info to proceed. receiver: I'll pass.",1
caller: Your credit card has been blocked. Provide your card and pin to reinstate it. receiver: Where are you calling from? Can I call my bank back directly?  ,1
caller: I noticed suspicious movement on your banking profile and can freeze your account to protect you if you give me the account number. receiver: Which bank are you calling from? caller: It’s linked to your phone; any major institution.,1
"caller: Hi Dennis, this is your mechanic. Just a courtesy call to let you know the parts for your car have arrived, and we can schedule the repair. receiver: Excellent! Can I bring it in Wednesday? caller: Wednesday works. See you then.",0
"caller: Congratulations, you won the lottery! To claim your prize, we need your bank details. receiver: I didn’t play the lottery. How did I win? caller: It’s part of a random promotion. Just pay the processing fee. receiver: I’ll decline, but thanks.",1
"caller: Hi, this is Rachel from your optometrist’s office. Your new glasses are ready for pickup. receiver: Great, I’ll come by after lunch. Thanks! caller: See you then.",0
"caller: I noticed you’re renting out a property. Let’s finalize—I’ll send extra via check.   receiver: Why extra?   caller: To arrange movers, you refund the rest.   receiver: No thanks.",1
caller: Your phone number was selected for a free vacation. Claim it by providing your ID. receiver: Can you show me proof of this contest?  ,1
caller: You’ve qualified for a special home improvement grant. Send your banking info so we can start your application. receiver: Is there a form to fill out first? caller: The process starts by phone to ensure you meet all requirements.,1
"caller: Hello, is this Mr. Andrews? receiver: Yes, this is he. Who’s calling? caller: Hi, my name’s Dana from Lakewood Library. I'm calling to inform you that the books you reserved are now available for pickup. receiver: Oh, that’s great! Thank you so much for letting me know. I’ll come by later today.  ",0
"caller: Hi, please confirm your Social Security number for security purposes.   receiver: Who are you?   caller: From your benefits office.   receiver: I’ll call them directly.",1
"caller: Good morning, this is Amanda from the post office. We tried to deliver a package today. When are you home? receiver: After 4 p.m. works best. caller: We’ll try again then.",0
"caller: Hi, I’m Ben from Timber Mart. Your lumber order is ready for delivery tomorrow. receiver: Excellent, thank you for confirming. caller: We’ll call you an hour before arrival.",0
caller: You’ve won a gift card! Click the link and enter your info to redeem. receiver: Can you mail me a physical gift card instead?  ,1
"caller: Hello, this is Tom from the science lab.   receiver: Hi Tom!   caller: Your project materials are ready for collection.   receiver: Fantastic! I’ll stop by at lunch.",0
caller: I see you recently traveled. Claim a customs refund by sharing your bank details. receiver: What country is this refund from?  ,1
"caller: Hello, this is the security department from your bank. We’ve detected unusual activity in your account. Can you confirm your full name and account number? receiver: Uh, really? Which account is this about? I have a couple. caller: Your checking account ending in 4732. Please verify your information so we can secure your funds. receiver: Wait, I don’t recall that account number. Can you send me an official email?",1
"caller: This is PayPal. We see unauthorized transactions. Click our link to recover your account. receiver: I just checked my account, no issues. caller: The email may be delayed—click quickly! receiver: I’ll ignore the link.",1
caller: You’re chosen for medical study; earn by sharing health data. receiver: Who runs the study? caller: Leading researchers. Just fill out this form with your info. receiver: Not interested.,1
caller: Your Apple ID has been locked. receiver: How can I unlock it? caller: Answer your security questions and provide your date of birth and password.,1
"caller: Hi! This is Casey from your local bakery. We have extra sourdough loaves today if you were still interested. receiver: Oh, fantastic! I’ll come pick one up after lunch.",0
caller: Tech support here. Your email has been hacked. Verify your password to recover it. receiver: Which email address? caller: Your main one. We need the password now. receiver: I'll reset it via the company’s site.,1
"caller: Someone lodged a complaint in your name. To clear your record, confirm identity now. receiver: Where was the complaint filed? caller: For confidentiality, we only communicate by phone.",1
"caller: You are owed a tax refund. Provide your card to receive the money. receiver: Refunds are only sent via check or direct deposit, aren’t they?  ",1
caller: Your eBay account will be banned for policy breach. receiver: What policy? caller: Provide login info to appeal the ban.,1
caller: You’re eligible for a home improvement grant. Pay processing today to claim funds. receiver: How do I know this is real?  ,1
"caller: Hi, it’s Diane from the animal rescue. Are you still able to foster puppies next month? receiver: Yes, I’m ready for them! caller: We’ll reach out with details soon.",0
"caller: This is Visa. Your credit limit has been breached. receiver: I rarely use my card. caller: To resolve this, verify your card information now.",1
"caller: I see you’re looking for a job online. For priority status, pay a processing fee and submit your resume now. receiver: Is this really necessary? caller: Yes, it speeds up your job application with top employers.",1
caller: We’re calling about a charity donation. Can you give your credit card over the phone to support needy children? receiver: I’d love to help but can I do it online? caller: Our phone drive ensures 100% of proceeds go direct to the children. Ready to contribute?,1
"caller: Good morning, this is IT calling about your computer ticket. Are you available now to troubleshoot? receiver: Yes, I’m at my desk. What do you need me to do? caller: Please restart your machine and let me know when it’s back up.",0
"caller: Hi, this is Ben with Maple Tree Travel. receiver: Hi Ben. caller: Your tickets for next week’s flight have been finalized—I’ve emailed all the details. receiver: Great, thanks for the update.",0
"caller: Good morning, this is Alex from Riverside Veterinary. Bailey’s medication is ready for pickup. receiver: Thank you, Alex. Is there parking at the office? caller: Yes, we have designated parking out front.  ",0
"caller: Hey, it’s your neighbor Steve. You left your car window open, and it’s starting to rain. receiver: Oh dear, thanks for telling me, I’ll go close it right now!",0
"caller: Hey, this is Drew from the soccer club. Don’t forget practice is moved to 5 PM due to field maintenance. receiver: Thanks for the update, Drew. caller: No problem. See you at the field!",0
"caller: Hi, I’m calling from your internet provider. To avoid service interruption, I need to verify your date of birth and SSN. receiver: Sure, 11/22/1980, SSN is 219-34-0976. caller: Thank you for confirming.",1
"caller: Hi, this is Sophia at Pet Groomers. Your dog Bella is ready to go home. receiver: Thank you, Sophia! I’ll come right over. caller: Bella’s waiting with a bow.",0
"caller: Hi, this is a message regarding your unpaid student loan. To avoid penalties, please provide your full name and social security number. receiver: I didn’t know I had a late payment. Can I check my balance online? caller: For verification, I need your info first, then I’ll send you a link to your account.",1
"caller: This is Dr. Evans’ office. Please remember to fast before your blood test tomorrow morning. receiver: Got it, thanks for reminding me.",0
"caller: Hi, Emily! Are you still coming to the book club tonight?   receiver: Hi! Yes, I’ll be there around 7. Is there anything I should bring?   caller: Just bring your copy of the book and your amazing insights. Snacks are covered!  ",0
"caller: Hello, it’s Brenda at Elegant Events. Can you confirm meal preferences for your wedding? receiver: Yes, chicken for me and vegetarian for my partner.",0
"caller: Hello, Sarah! This is Beth from the gym. I noticed you missed yesterday’s spin class.   receiver: Hi Beth! Yeah, I wasn’t feeling well but I’ll be there on Friday.   caller: No worries, we look forward to seeing you back!   receiver: Thanks for checking in.",0
"caller: Hi, I’m from Publisher’s Clearing House. You’ve won $1 million! To unlock your prize, just prepay the processing fee of $500.   receiver: A processing fee? That doesn’t sound right.   caller: It’s required by law to facilitate winnings. Just pay and the check will arrive.   receiver: Can’t you just take it from my prize?",1
"caller: Hi, did you find a phone charger near the main entrance yesterday?   receiver: Yes, we have one at lost and found. Describe it to make sure it’s yours?   caller: It’s black, with the brand name “Anker” on it.   receiver: That matches the one we found!  ",0
caller: You’ve been selected for a customer loyalty program. Confirm your address and payment method. receiver: I haven’t heard about this program and won’t give out details.,1
"caller: Good afternoon, this is Brianna from Corner Café. You left your umbrella here this morning. Want us to hold it for you? receiver: Oh, thank you! I’ll come by to pick it up after work.",0
"caller: Good afternoon, this is Simon from City Auditors. Just confirming the maintenance window in your office for this Friday. All services will be restored by 2 PM. receiver: That’s good to know. Thank you.",0
"caller: Good morning. Calling from the animal shelter. Did you want to schedule a meet-and-greet with Bella this weekend? receiver: Yes, I’d love that. Saturday, please!",0
"caller: Hi, this is Dave from HomeGym Delivery. Your equipment will arrive tomorrow morning. Do you need us to assemble it for you?   receiver: That would be great, yes please.",0
"caller: Hi Sam, this is Quinn from Lively Music Shop. Your guitar repair is finished and you can pick it up anytime.   receiver: Thanks Quinn! I’ll come by after work.",0
"caller: Hello, this is Maxine from the recycling program. We're collecting electronics this Saturday. receiver: Thanks for letting me know! I have some things to drop off. caller: Excellent, see you then.",0
"caller: I’m an officer with the FBI, contacting you regarding illegal transactions on your account. receiver: The FBI doesn’t call about these things – send me an official letter.  ",1
"caller: Your trip cancellation refund is ready, but we need your bank info. receiver: Can’t you just refund my card? caller: Manual processing requires banking details. receiver: I’ll pass.",1
caller: You’ve been overcharged on your last internet bill. receiver: That’d be great to fix! caller: Confirm your billing and bank details to process the refund.,1
"caller: This is the Social Security office. There’s a problem with your number and you must verify it, or benefits will stop. receiver: Why didn’t I get a letter about this? caller: Calls are faster for urgent matters like this.",1
"caller: This is Hannah from the school office. There’s an early dismissal on Friday. receiver: Thanks, I’ll plan accordingly.",0
caller: Our records show you qualify for debt relief. Share your details to see how much you’ll save. receiver: How did you get my information?  ,1
"caller: Hello, I’m with Great Eats Restaurant. Is this Emily? receiver: Yes, speaking. caller: Just confirming your reservation for two at 7:00 pm tonight. receiver: That’s correct, thank you so much.",0
"caller: Hello, your account security is at risk due to detected phishing attempts. Please provide your login info to verify. receiver: Can you email me some proof?  ",1
"caller: Hello, this is Tyler from QuickCar. Your car service is done and ready for pickup. receiver: Excellent, thank you. I’ll be there in about 30 minutes. caller: That’s perfect. See you soon.",0
caller: Your benefit payment is paused. Send your details to reactivate. receiver: I’ll confirm with local authorities.  ,1
"caller: We have detected illegal material linked to your account. Pay a fine to settle this. receiver: Who are you with, exactly?  ",1
"caller: Hello, this is Emily from the animal shelter. receiver: Hi Emily! caller: I’m checking if you’re still interested in adopting the terrier puppy. receiver: Absolutely! When can I come meet her? caller: Tomorrow at 2pm works. receiver: Perfect!",0
caller: There’s a warrant out for your arrest. Pay now to cancel it. receiver: Who issued the warrant? What court is it from?  ,1
"caller: Investment opportunity: Double your money in a week! Just wire funds to our account. receiver: Is this regulated by any financial authorities? caller: We handle private investors. Trust us, results guaranteed. receiver: I’ll pass.",1
caller: There has been a recall on your kitchen appliance. Pay a shipping fee for your replacement. receiver: Which appliance is this about?  ,1
"caller: Hello, this is the school counselor. Emily left her backpack in the office today. receiver: Thank you. I’ll pick it up after school.",0
caller: I’m from a local police charity. Donate today by credit card for a good cause. receiver: Could you mail me proof that you represent that charity?  ,1
"caller: Good afternoon, this is Alex from Wellness Pharmacy. Your refill is ready for pickup. receiver: Thank you very much.",0
caller: Your account is being investigated for fraud. Immediate verification is needed. receiver: I’ll wait for an official notice from my bank.  ,1
"caller: I'm a recruiter from a global company. We’d like to offer you a position, but need your SSN for background screening. receiver: Can’t I provide my SSN after an official job offer? caller: This is part of pre-hire. Send it now. receiver: I’ll wait, thanks.",1
caller: You’ve won a smartphone! Pay for shipping and it’s yours. receiver: Can you send me information by mail instead?  ,1
caller: This is the court office. There’s a warrant for your arrest for missing jury duty.   receiver: What? I never received any notice.   caller: It happens sometimes. You can settle with a fine over the phone.   receiver: That’s not how it works. Goodbye.,1
"caller: Hi, this is the IRS. You owe back taxes. Pay now to avoid arrest. receiver: The IRS usually contacts by mail, not phone. caller: This is urgent. If you don’t pay immediately, legal action will be taken.",1
"caller: I’m from Medicare. Your benefits are set to expire. Please confirm your Medicare number and date of birth to continue coverage.   receiver: Am I supposed to get notifications like this by phone?   caller: This is an urgent renewal. Without it, you’ll lose your benefits.   receiver: I’ll visit my Medicare portal instead.",1
caller: You’ve been selected for a random COVID testing reward. Please submit your ID and card number. receiver: Where can I verify this? I’m cautious about sharing my information.,1
"caller: Good afternoon, is Mr. Sanders there? receiver: This is he. caller: Hi, this is Amanda with your prescription refill reminder. Your medication is ready for pickup any time. receiver: Thank you, Amanda. I’ll stop by the pharmacy after work today.",0
caller: Online banking reward contest; you’re a winner. Log in using this link to receive your prize. receiver: I’ll use the bank’s official website.,1
caller: Congratulations! You've won a brand new iPhone.   receiver: Seriously? I didn’t enter any contest.   caller: Your email was selected randomly. Just pay the shipping fee to claim your prize.   receiver: Sounds fishy. I think I’ll pass.,1
"caller: Hi Ben, this is the pharmacy. Your prescription is ready to be picked up.   receiver: Thanks for letting me know! I’ll be there this afternoon.  ",0
caller: We’re updating our customer database. Please provide your full name and address. receiver: Why does your company need this again?  ,1
"caller: Hello, this is your neighbor on Birch Lane. I found your dog, Oscar. receiver: Oh, thank you! I’ve been looking everywhere.",0
"caller: Good afternoon, am I speaking with Mr. Johnson? receiver: Yes, who is this? caller: I’m from the IRS. You owe back taxes and need to pay immediately to avoid arrest.",1
"caller: Your Gmail account will be locked due to suspicious activity.   receiver: What activity?   caller: Can only be discussed after verification.   receiver: No, I’ll handle it.",1
caller: You’ve got an urgent message from your boss—open this attachment to view it. receiver: I’ll check with my boss directly about any urgent messages.,1
"caller: Hi Mr. Logan, this is Rita from Riverside Elementary. Just confirming your volunteer shift this Friday. receiver: Thank you for the reminder, Rita.",0
"caller: Hello, this is Rebecca from admissions. Your tour of the campus is scheduled for Friday at 11. receiver: Great, do I need to bring anything? caller: Just check in at the front desk when you arrive.",0
"caller: Hello, this is Monica from Fairview Laundromat. Your special cleaning order is ready for collection.   receiver: Thank you Monica, I’ll stop in today.",0
caller: Your friend sent you a gift. Confirm delivery with your address and payment info. receiver: Ask my friend to contact me directly.  ,1
"caller: Hello, is Mrs. White there? receiver: Speaking. caller: This is Angela from the city council. There will be a street closure Saturday for the festival. receiver: Thank you for informing me.",0
"caller: Hi, can you help me donate to my sick relative’s fundraiser? receiver: What charity is this with? caller: We run it ourselves. Paypal or card accepted. receiver: I’d rather contribute to established charities.",1
caller: Your online subscription needs urgent renewal. Provide payment info to continue enjoying services. receiver: What subscription is expiring?  ,1
"caller: Hello, it’s the gas company. Your service check is complete and everything’s good. receiver: Thanks for the update.",0
"caller: Good evening, Tina from Sunrise Optics here. Your contact lenses are ready for pickup. receiver: Thanks, Tina! I’ll collect them this week.",0
"caller: Hi, I’m calling to update my address.   receiver: No problem, I can do that for you. What’s your new address?  ",0
